Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-06-10,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2611.142578125,2619.957763671875,2435.401611328125,2471.5185546875,2471.5185546875,28753626390,2541.33056640625
2021-06-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2472.85888671875,2495.414794921875,2326.86962890625,2353.768798828125,2353.768798828125,24832564195,2413.3138427734375
2021-06-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2354.752197265625,2447.227783203125,2265.758056640625,2372.484375,2372.484375,25724364410,2363.6182861328125
2021-06-13,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2372.690185546875,2547.367919921875,2312.64013671875,2508.3916015625,2508.3916015625,27092945370,2440.5408935546875
2021-06-14,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2508.7705078125,2606.432861328125,2469.38818359375,2537.89111328125,2537.89111328125,26964576331,2523.330810546875
2021-06-15,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2587.7626953125,2639.229248046875,2515.153076171875,2610.936767578125,2610.936767578125,29005279219,2599.3497314453125
2021-06-16,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2544.86474609375,2554.62890625,2354.3505859375,2367.66357421875,2367.66357421875,24101926180,2456.26416015625
2021-06-17,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2367.306396484375,2457.175537109375,2312.301513671875,2372.001953125,2372.001953125,21871633186,2369.6541748046875
2021-06-18,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2374.5869140625,2377.195068359375,2147.308349609375,2231.733154296875,2231.733154296875,22752818388,2303.1600341796875
2021-06-19,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2235.1591796875,2278.4150390625,2168.885009765625,2178.4990234375,2178.4990234375,18765854896,2206.8291015625
2021-06-20,0.3682573128081274,0.318970570516655,0.3127721166752175,77643395.0,0,2171.337890625,2275.3828125,2049.962646484375,2246.364501953125,2246.364501953125,22535930423,2208.8511962890625
