BTC,BNB,ETH,Date
49318.5625,500.9333190917969,3816.29541015625,2021-09-03
50071.90234375,486.5526428222656,3972.445068359375,2021-09-04
49983.87109375,489.3182678222656,3841.537109375,2021-09-05
51689.13671875,508.0930786132813,3962.8173828125,2021-09-06
52689.1015625,499.4210815429688,3950.331298828125,2021-09-07
47802.14453125,433.2933044433594,3369.018310546875,2021-09-08
46187.8359375,438.8794860839844,3504.56689453125,2021-09-09
46166.5390625,393.7354736328125,3329.342529296875,2021-09-10
44478.13671875,422.8758544921875,3319.529052734375,2021-09-11
45034.1875,428.873291015625,3355.57275390625,2021-09-12
45916.1875,421.5589904785156,3416.866943359375,2021-09-13
45093.8203125,398.9848937988281,3275.60546875,2021-09-14
46920.609375,410.7877502441406,3456.41015625,2021-09-15
48326.0078125,440.252685546875,3617.46826171875,2021-09-16
47936.89453125,431.876953125,3570.8681640625,2021-09-17
47383.453125,421.2628173828125,3443.948974609375,2021-09-18
48271.1015625,408.4623107910156,3456.923095703125,2021-09-19
47451.0,389.9037170410156,3381.5380859375,2021-09-20
43713.29296875,350.6767272949219,2944.525634765625,2021-09-21
40535.765625,363.0375061035156,2823.475830078125,2021-09-22
43179.171875,374.49798583984375,3244.44482421875,2021-09-23
44759.67578125,372.1746826171875,3084.59814453125,2021-09-24
43012.578125,364.5711059570313,3077.25830078125,2021-09-25
42613.22265625,374.4318542480469,2941.580810546875,2021-09-26
43224.0859375,336.61083984375,2996.976806640625,2021-09-27
42174.30078125,349.0565795898437,2962.497802734375,2021-09-28
41137.30859375,336.5351257324219,2813.325439453125,2021-09-29
41436.1875,374.7918090820313,2859.93310546875,2021-09-30
43642.046875,394.4088745117188,3027.74267578125,2021-10-01
48203.515625,412.4864501953125,3330.218017578125,2021-10-02
47964.83984375,453.4967346191406,3497.326171875,2021-10-03
48505.9609375,444.2792663574219,3496.6826171875,2021-10-04
49246.2265625,440.5564575195313,3274.97314453125,2021-10-05
51440.8828125,445.1452941894531,3569.934814453125,2021-10-06
55517.46875,439.6578979492188,3647.980712890625,2021-10-07
54134.62109375,447.09967041015625,3593.699951171875,2021-10-08
54257.92578125,419.1249694824219,3616.01416015625,2021-10-09
54936.3359375,435.5246276855469,3644.625732421875,2021-10-10
54780.51171875,384.7588195800781,3479.539306640625,2021-10-11
57335.578125,439.8379211425781,3609.9697265625,2021-10-12
56316.765625,441.3981628417969,3458.236572265625,2021-10-13
57358.22265625,477.3247375488281,3519.974853515625,2021-10-14
57354.91015625,489.35205078125,3804.624755859375,2021-10-15
61438.95703125,510.92767333984375,3871.989990234375,2021-10-16
61015.640625,473.1559753417969,3901.604736328125,2021-10-17
61704.421875,485.1430358886719,3881.267333984375,2021-10-18
